IDDIST;PROVINCIA;DISTRITO;antiguedad;nro_banios;nro_pisos;nro_cocheras;nro_dormitorios;estado_de_inmueble;precio_soles;latitud;longitud;area_constr_m2;area_total_m2
150130;Lima;SanBorja;4;2;3;2;5+;;610000;-12.0928294;-76.9956653;360;300
150130;Lima;SanBorja;3;4;3;3;5+;Muy bueno;580000;-12.0928294;-76.9956653;490;305
150140;Lima;SantiagoDeSurco;2;3;2;3;5+;Bueno;440000;-12.13513464;-76.9956851;150;250
150114;Lima;LaMolina;3;5;3;2;5+;;400000;-12.1216675;-76.9957591;320;320
150140;Lima;SantiagoDeSurco;4;4;3;4;5+;Muy bueno;510000;-12.1242561;-76.9958072;273;230
150137;Lima;SantaAnita;3;5;3;0;5+;Bueno;250000;-12.0322846;-76.9958072;394;146
150141;Lima;Surquillo;2;4;3;2;5+;Bueno;920000;-12.11169155;-76.99582007;366;258
150140;Lima;SantiagoDeSurco;3;2;2;2;4;A Remodelar;435000;-12.1253624;-76.99583126;220;236
150130;Lima;SanBorja;3;3;3;2;5+;;610000;-12.1038848;-76.9958675;320;300
150140;Lima;SantiagoDeSurco;4;3;3;1;4;Muy bueno;350000;-12.14111013;-76.99587117;314;119
150140;Lima;SantiagoDeSurco;1;3;2;1;4;;265000;-12.1655842;-76.99587529;169;120
150140;Lima;SantiagoDeSurco;1;5;3;2;5+;Bueno;365000;-12.1607588;-76.995928;270;135
150114;Lima;LaMolina;3;5;3;2;5+;Excelente;340000;-12.1607588;-76.995928;255;166
150140;Lima;SantiagoDeSurco;4;4;2;4;3;Remodelado;1800000;-12.1166204;-76.9961145;550;1252
150130;Lima;SanBorja;3;2;3;3;4;Excelente;480000;-12.0841152;-76.99611746;303;200
150130;Lima;SanBorja;2;3;2;3;4;;550000;-12.106106;-76.9961749;450;450
150140;Lima;SantiagoDeSurco;4;2;3;1;3;Bueno;395000;-12.1445589;-76.9962175;195;181
150140;Lima;SantiagoDeSurco;3;2;2;1;4;Bueno;438500;-12.13034295;-76.99621904;220;236
150130;Lima;SanBorja;3;5;2;4;5+;Remodelado;580000;-12.0898981;-76.9962233;263;302
150140;Lima;SantiagoDeSurco;1;3;3;1;4;Bueno;265000;-12.16525835;-76.99623005;169;120
150140;Lima;SantiagoDeSurco;3;3;2;2;4;;419000;-12.14078209;-76.99625903;335;335
